shiptype,ton,length
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,39
Cargo ships,396,38
Cargo ships,396,38
Cargo ships,396,37
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
Cargo ships,396,35
